id,first_name,last_name,city,rating,n_orders
65,Михаил,Кулаков,Долгопрудный,3.1666666666666665,6
66,Злата,Лебедева,Люберцы,5.0,5
67,Денис,Доронин,Железнодорожный,4.75,4
68,София,Панова,Балашиха,3.0,2
69,Злата,Маслова,Подольск,5.0,4
70,Даниил,Якушев,Химки,5.0,3
71,Вероника,Белоусова,Мытищи,5.0,1
72,Александра,Пестова,Люберцы,4.0,1
73,Милана,Журавлева,Балашиха,5.0,4
74,Константин,Гущин,Мытищи,5.0,3
75,Ксения,Громова,Подольск,5.0,4
76,Валерия,Романова,Москва,4.666666666666667,3
77,Маргарита,Цветкова,Долгопрудный,5.0,3
78,Ульяна,Зыкова,Мытищи,5.0,4
79,Мария,Андреева,Химки,5.0,2
80,Глеб,Лукин,Балашиха,5.0,2
81,Максим,Тихонов,Подольск,5.0,6
82,Ульяна,Николаева,Реутов,16.875,8
83,Маргарита,Ильина,Реутов,3.8,5
84,Ульяна,Меркушева,Королев,5.0,5
85,Федор,Кириллов,Люберцы,4.666666666666667,4
86,Маргарита,Мельникова,Мытищи,3.6666666666666665,3
87,Алёна,Мельникова,Химки,5.0,3
88,Демид,Суханов,Королев,5.0,2
89,Ева,Моисеева,Химки,5.0,4
90,Арина,Панфилова,Химки,1.0,1
91,Алексей,Лихачев,Королев,5.0,7
92,Тимофей,Брагин,Реутов,4.75,4
93,Егор,Кудряшов,Балашиха,3.25,4
94,Анна,Кириллова,Химки,4.2,6
95,Ярослав,Федотов,Долгопрудный,5.0,5
96,Александра,Петухова,Мытищи,5.0,3
97,Злата,Яковлева,Москва,5.0,4
98,Дарья,Павлова,Химки,5.0,4
99,Даниил,Ильин,Долгопрудный,35.333333333333336,3
100,Дарья,Сазонова,Королев,24.0,5
101,Маргарита,Казакова,Королев,5.0,3
102,Стефания,Пестова,Балашиха,4.25,4
103,Анастасия,Боброва,Железнодорожный,3.0,2
104,Михаил,Корнилов,Подольск,4.666666666666667,4
105,Арсений,Дорофеев,Железнодорожный,5.0,4
106,Александра,Потапова,Люберцы,4.0,4
107,Анастасия,Зыкова,Королев,4.5,4
108,Ева,Панова,Долгопрудный,5.0,4
109,Кирилл,Соколов,Москва,5.0,1
110,Константин,Гущин,Балашиха,5.0,2
111,Стефания,Маслова,Химки,52.5,2
112,Алиса,Зуева,Люберцы,5.0,2
113,Яна,Агафонова,Королев,3.0,2
114,Ульяна,Афанасьева,Мытищи,5.0,4
115,Маргарита,Николаева,Москва,5.0,4
116,Степан,Морозов,Королев,5.0,5
117,Кира,Блинова,Мытищи,5.0,4
118,Вероника,Степанова,Балашиха,5.0,2
119,Савелий,Носов,Подольск,4.428571428571429,7
120,Ксения,Ширяева,Балашиха,4.666666666666667,3
121,Тимофей,Горбачев,Химки,5.0,3
122,Глеб,Степанов,Москва,4.5,6
123,Денис,Колесников,Подольск,4.333333333333333,3
124,Александр,Кудрявцев,Подольск,5.0,2
125,Стефания,Мамонтова,Железнодорожный,5.0,1
126,Анастасия,Михеева,Долгопрудный,3.6666666666666665,3
127,Елизавета,Стрелкова,Люберцы,28.75,4
128,Валерия,Кабанова,Железнодорожный,4.4,5
129,Владислав,Федотов,Долгопрудный,52.5,2
130,Наталья,Мамонтова,Химки,3.75,4
131,Демид,Трофимов,Люберцы,5.0,3
132,Кирилл,Потапов,Долгопрудный,,0
133,Алиса,Быкова,Химки,5.0,1
134,Иван,Ефимов,Подольск,4.5,2
135,Елизавета,Носкова,Королев,5.0,5
136,Маргарита,Аксенова,Подольск,,0
137,Маргарита,Галкина,Москва,5.0,5
138,Виктория,Зуева,Королев,4.333333333333333,6
139,Полина,Осипова,Королев,5.0,5
140,Вероника,Быкова,Долгопрудный,3.5,6
141,Кира,Денисова,Химки,5.0,3
142,Стефания,Назарова,Долгопрудный,3.875,8
143,Карина,Гаврилова,Королев,5.0,5
144,Виктор,Фомин,Железнодорожный,5.0,4
145,Савелий,Шарапов,Балашиха,5.0,1
146,Полина,Суворова,Химки,5.0,4
147,Елизавета,Дьячкова,Долгопрудный,5.0,4
148,Алиса,Исакова,Реутов,5.0,3
149,Александр,Соловьев,Москва,5.0,5
150,Федор,Осипов,Подольск,5.0,2
151,Лев,Константинов,Мытищи,5.0,5
152,Иван,Петров,Подольск,3.75,4
153,Кира,Турова,Долгопрудный,5.0,1
154,Василиса,Кононова,Люберцы,4.8,5
155,Дарья,Евдокимова,Люберцы,4.6,5
156,Арина,Лапина,Железнодорожный,5.0,1
157,Арина,Белякова,Балашиха,5.0,8
158,Виктория,Большакова,Подольск,4.25,4
159,Полина,Голубева,Королев,4.666666666666667,7
160,Яна,Шестакова,Долгопрудный,5.0,1
161,Максим,Пестов,Мытищи,5.0,3
162,Кира,Архипова,Химки,5.0,7
163,Анна,Вишнякова,Королев,5.0,2
164,Марк,Бобров,Королев,5.0,2
165,Полина,Назарова,Железнодорожный,5.0,4
166,Ярослав,Кондратьев,Химки,5.0,8
167,Глеб,Молчанов,Долгопрудный,35.333333333333336,3
168,Роман,Костин,Железнодорожный,5.0,5
169,Арина,Шарова,Долгопрудный,4.2,6
170,Ульяна,Михайлова,Железнодорожный,4.875,8
171,София,Крылова,Люберцы,5.0,3
172,Дарья,Маркова,Химки,5.0,6
173,Александр,Стрелков,Реутов,5.0,3
174,Наталья,Муравьева,Железнодорожный,5.0,5
175,Елизавета,Рогова,Люберцы,5.0,3
176,Степан,Колесников,Подольск,5.0,3
177,Артем,Шарапов,Люберцы,4.2,5
178,Иван,Селезнев,Балашиха,5.0,7
179,Ксения,Ковалева,Химки,5.0,2
180,Карина,Исаева,Балашиха,4.0,5
181,Владислав,Юдин,Балашиха,5.0,1
182,Никита,Федотов,Королев,28.5,4
183,Мария,Ковалева,Люберцы,5.0,2
184,Кира,Устинова,Королев,4.666666666666667,4
185,Кирилл,Брагин,Мытищи,5.0,2
186,Злата,Иванова,Долгопрудный,4.375,8
187,Стефания,Шубина,Подольск,4.0,2
188,Даниил,Дорофеев,Реутов,3.6666666666666665,3
189,Максим,Мухин,Железнодорожный,5.0,4
190,Дарья,Гордеева,Химки,5.0,2
191,Иван,Галкин,Химки,5.0,2
192,Матвей,Носов,Железнодорожный,5.0,4
193,Степан,Потапов,Долгопрудный,3.25,4
194,Злата,Фокина,Королев,5.0,7
195,Глеб,Лыткин,Мытищи,4.2,5
196,Диана,Цветкова,Химки,5.0,3
197,Степан,Шарапов,Долгопрудный,4.857142857142857,7
198,Марк,Суханов,Реутов,4.5,9
199,Савелий,Потапов,Балашиха,4.333333333333333,3
200,Карина,Шашкова,Химки,4.833333333333333,6
201,Демид,Крюков,Королев,4.75,4
202,Иван,Дмитриев,Железнодорожный,5.0,3
203,Ксения,Савельева,Реутов,5.0,2
204,Кира,Турова,Люберцы,5.0,2
205,Вероника,Кондратьева,Реутов,5.0,3
206,Анастасия,Карпова,Мытищи,5.0,5
207,Диана,Быкова,Подольск,3.0,4
208,Глеб,Кириллов,Реутов,5.0,1
209,Анастасия,Исаева,Подольск,5.0,3
210,Стефания,Данилова,Люберцы,4.75,4
211,Арсений,Гаврилов,Подольск,5.0,6
212,Лев,Пахомов,Железнодорожный,3.0,3
213,Маргарита,Копылова,Люберцы,5.0,4
214,Ева,Архипова,Реутов,4.5,4
215,Матвей,Харитонов,Королев,2.5,2
216,Марк,Фомин,Реутов,5.0,3
217,Ярослав,Доронин,Химки,5.0,1
218,Кира,Константинова,Москва,5.0,4
219,София,Цветкова,Королев,5.0,6
220,Алёна,Носкова,Королев,5.0,2
221,Михаил,Исаев,Королев,5.0,2
222,Тимофей,Фомин,Железнодорожный,5.0,1
223,Владислав,Бобылев,Долгопрудный,5.0,2
224,Ева,Устинова,Химки,5.0,7
225,Маргарита,Якушева,Реутов,5.0,1
226,Вероника,Богданова,Королев,18.428571428571427,7
227,Лев,Романов,Королев,3.6666666666666665,3
228,Даниил,Миронов,Реутов,5.0,1
229,Ева,Костина,Мытищи,4.333333333333333,6
230,Диана,Громова,Подольск,5.0,2
231,Федор,Родионов,Долгопрудный,5.0,4
232,Милана,Галкина,Мытищи,3.0,2
233,Матвей,Марков,Реутов,5.0,3
234,Арсений,Матвеев,Люберцы,5.0,6
235,Карина,Крюкова,Железнодорожный,4.333333333333333,3
236,Максим,Ермаков,Реутов,4.0,4
237,Вероника,Белозерова,Долгопрудный,28.75,4
238,Марк,Казаков,Мытищи,5.0,1
239,Степан,Ситников,Королев,5.0,5
240,Савелий,Капустин,Железнодорожный,4.5,2
241,Ульяна,Тарасова,Москва,5.0,5
242,Виктория,Денисова,Железнодорожный,4.75,5
243,Илья,Савельев,Долгопрудный,5.0,2
244,Савелий,Жуков,Королев,5.0,2
245,Виктория,Стрелкова,Люберцы,4.5,2
246,Михаил,Мартынов,Железнодорожный,4.666666666666667,3
247,Матвей,Филатов,Мытищи,5.0,3
248,Демид,Ефремов,Люберцы,5.0,3
249,Ярослав,Симонов,Люберцы,5.0,1
250,Алексей,Никонов,Долгопрудный,4.0,6
251,Матвей,Лаврентьев,Королев,5.0,4
252,Александр,Мухин,Мытищи,,0
253,Василиса,Носкова,Реутов,5.0,3
254,Андрей,Беляков,Балашиха,4.0,5
255,Арина,Доронина,Химки,5.0,4
256,Арина,Фокина,Железнодорожный,4.0,1
257,Алексей,Елисеев,Подольск,5.0,1
258,Ева,Колобова,Реутов,5.0,1
259,Егор,Рыбаков,Железнодорожный,100.0,2
260,Ева,Колобова,Москва,4.75,4
261,Максим,Одинцов,Королев,4.5,8
262,Владислав,Самойлов,Железнодорожный,5.0,3
263,Кира,Савельева,Балашиха,4.0,5
264,Кирилл,Федосеев,Королев,5.0,1
265,Ксения,Егорова,Химки,4.5,4
266,Степан,Кузьмин,Мытищи,4.0,4
267,Дарья,Чернова,Люберцы,5.0,2
268,Федор,Гурьев,Железнодорожный,5.0,1
269,Маргарита,Филиппова,Королев,4.0,5
270,Злата,Григорьева,Химки,28.75,4
271,Полина,Костина,Балашиха,5.0,3
272,Максим,Фокин,Москва,5.0,2
273,Анна,Григорьева,Люберцы,5.0,4
274,Мария,Беляева,Балашиха,,1
275,Алёна,Боброва,Люберцы,4.333333333333333,3
276,Кирилл,Горбунов,Долгопрудный,5.0,3
277,Милана,Наумова,Подольск,,0
278,Артем,Мельников,Реутов,4.5,4
279,Ярослав,Потапов,Реутов,5.0,3
280,Елизавета,Осипова,Реутов,5.0,3
281,Григорий,Андреев,Долгопрудный,4.2,5
282,Илья,Кононов,Балашиха,36.666666666666664,3
283,Егор,Бобров,Люберцы,4.8,5
284,Александра,Кузнецова,Подольск,3.0,3
285,Ульяна,Исакова,Подольск,5.0,4
286,Алексей,Баранов,Химки,36.666666666666664,3
287,Константин,Денисов,Мытищи,5.0,3
288,Виктория,Степанова,Подольск,5.0,1
289,Савелий,Маслов,Люберцы,4.875,9
290,Михаил,Кабанов,Москва,5.0,1
291,Александра,Сысоева,Москва,5.0,6
292,Кирилл,Кудрявцев,Подольск,5.0,4
293,Кира,Исакова,Долгопрудный,5.0,5
294,Константин,Крылов,Подольск,5.0,4
295,Андрей,Комиссаров,Подольск,5.0,2
296,Роман,Смирнов,Люберцы,5.0,4
297,Виктор,Лыткин,Москва,1.0,1
298,Дарья,Казакова,Люберцы,5.0,3
299,Тимофей,Колесников,Долгопрудный,4.2,5
300,Марк,Гущин,Реутов,5.0,3
301,Диана,Ефимова,Железнодорожный,5.0,4
302,Ксения,Дроздова,Реутов,5.0,3
303,Анастасия,Бирюкова,Реутов,5.0,5
304,Владислав,Суворов,Долгопрудный,4.0,5
305,Карина,Орехова,Подольск,5.0,4
306,Дарья,Михайлова,Долгопрудный,5.0,2
307,Маргарита,Николаева,Балашиха,4.75,4
308,Злата,Стрелкова,Долгопрудный,52.5,3
309,Александра,Лукина,Реутов,4.666666666666667,3
310,Полина,Уварова,Химки,4.5,2
311,Кира,Федотова,Железнодорожный,3.6666666666666665,3
312,Стефания,Русакова,Реутов,5.0,2
313,Иван,Шаров,Железнодорожный,5.0,2
314,Арина,Воронова,Долгопрудный,5.0,1
315,Тимофей,Козлов,Железнодорожный,4.75,4
316,София,Власова,Королев,3.0,3
317,Григорий,Новиков,Королев,4.0,5
318,Наталья,Маркова,Мытищи,5.0,3
319,Максим,Ширяев,Химки,5.0,1
320,Денис,Кудряшов,Мытищи,3.0,2
321,Валерия,Карпова,Мытищи,5.0,6
322,Владислав,Князев,Москва,5.0,1
323,Роман,Петухов,Химки,5.0,2
324,Егор,Кудряшов,Москва,36.666666666666664,3
325,Василиса,Устинова,Химки,28.75,4
326,Анастасия,Степанова,Мытищи,5.0,5
327,Матвей,Щербаков,Долгопрудный,5.0,3
328,Дарья,Лобанова,Москва,,0
329,Михаил,Федосеев,Химки,4.666666666666667,6
330,Денис,Зайцев,Реутов,28.75,5
331,Савелий,Лебедев,Королев,4.444444444444445,9
332,Полина,Орлова,Подольск,5.0,3
333,Артем,Богданов,Королев,5.0,2
334,Максим,Пестов,Реутов,5.0,2
335,Марк,Макаров,Мытищи,23.2,5
336,Артем,Зиновьев,Долгопрудный,28.75,5
337,Арина,Соболева,Долгопрудный,5.0,3
338,Виктор,Поляков,Долгопрудный,5.0,1
339,Марк,Федоров,Железнодорожный,4.666666666666667,3
340,Милана,Власова,Люберцы,4.8,5
341,Ксения,Фокина,Балашиха,5.0,3
342,Савелий,Лазарев,Долгопрудный,5.0,4
343,Артем,Медведев,Мытищи,5.0,3
344,Тимофей,Карпов,Мытищи,20.833333333333332,6
345,Илья,Мельников,Москва,5.0,7
346,Максим,Кононов,Королев,1.0,1
347,Григорий,Попов,Королев,4.375,8
348,Анастасия,Яковлева,Подольск,5.0,4
349,Карина,Полякова,Люберцы,5.0,3
350,Диана,Козлова,Долгопрудный,3.0,3
351,Владислав,Белов,Мытищи,5.0,3
352,Дарья,Комиссарова,Люберцы,5.0,3
353,Дарья,Жданова,Подольск,5.0,5
354,Ульяна,Терентьева,Королев,5.0,2
355,Кирилл,Осипов,Химки,4.5,6
356,Вероника,Ильина,Москва,5.0,2
357,Степан,Молчанов,Долгопрудный,3.0,2
358,Диана,Ситникова,Балашиха,5.0,5
359,Григорий,Одинцов,Балашиха,4.6,6
360,Алёна,Соловьева,Реутов,3.5,8
361,Мария,Сазонова,Долгопрудный,4.8,5
362,Яна,Ефимова,Москва,5.0,4
363,Анна,Смирнова,Люберцы,,1
364,Никита,Шарапов,Подольск,4.5,3
365,Алиса,Соловьева,Люберцы,4.8,5
366,Егор,Ширяев,Москва,4.666666666666667,3
367,Федор,Носков,Химки,4.75,4
368,Александр,Исаков,Железнодорожный,5.0,2
369,Константин,Беспалов,Балашиха,4.5,3
370,Ульяна,Терентьева,Балашиха,5.0,4
371,Владислав,Михайлов,Королев,36.666666666666664,4
372,Григорий,Александров,Подольск,3.0,2
373,Мария,Морозова,Подольск,5.0,6
374,Степан,Романов,Мытищи,5.0,1
375,Валерия,Рогова,Королев,5.0,1
376,Елизавета,Данилова,Королев,4.285714285714286,7
377,Тимофей,Калинин,Химки,4.666666666666667,4
378,Наталья,Филатова,Люберцы,4.375,8
379,Тимофей,Игнатьев,Долгопрудный,,0
380,Анна,Зыкова,Подольск,1.0,2
381,Роман,Третьяков,Железнодорожный,3.6666666666666665,3
382,Степан,Якушев,Мытищи,5.0,2
383,Лев,Гуляев,Долгопрудный,5.0,2
384,Арсений,Андреев,Москва,5.0,1
385,Алексей,Макаров,Реутов,3.0,2
386,Владислав,Юдин,Железнодорожный,5.0,4
387,Дарья,Беспалова,Долгопрудный,5.0,2
388,Григорий,Ситников,Химки,2.0,2
389,Дарья,Мартынова,Подольск,5.0,2
390,Алиса,Лаврентьева,Железнодорожный,4.666666666666667,3
391,Диана,Евсеева,Королев,5.0,5
392,Роман,Попов,Люберцы,17.571428571428573,7
393,Арсений,Орлов,Королев,5.0,4
394,Демид,Нестеров,Балашиха,4.666666666666667,3
395,Мария,Смирнова,Люберцы,5.0,2
396,Злата,Жукова,Долгопрудный,3.3333333333333335,3
397,Виктория,Морозова,Долгопрудный,4.25,4
398,Полина,Трофимова,Реутов,3.75,4
399,Кира,Борисова,Москва,2.3333333333333335,4
400,Иван,Зимин,Мытищи,5.0,3
401,Виктор,Одинцов,Мытищи,5.0,5
402,Константин,Давыдов,Москва,5.0,2
403,Полина,Кузьмина,Химки,5.0,1
404,Егор,Бобров,Люберцы,4.25,4
405,Илья,Третьяков,Подольск,5.0,2
406,Ксения,Шилова,Подольск,5.0,3
407,Алексей,Терентьев,Долгопрудный,5.0,2
408,Алиса,Борисова,Долгопрудный,3.6666666666666665,3
409,Михаил,Громов,Люберцы,5.0,2
410,Виктор,Логинов,Москва,4.5,4
411,Артем,Дроздов,Химки,5.0,4
412,Константин,Панов,Королев,5.0,1
413,Владислав,Лазарев,Химки,5.0,3
414,Андрей,Русаков,Долгопрудный,5.0,4
415,Маргарита,Орехова,Королев,4.833333333333333,6
416,Полина,Антонова,Химки,15.555555555555555,9
417,Арсений,Сергеев,Долгопрудный,3.857142857142857,7
418,Анна,Смирнова,Химки,5.0,4
419,Полина,Фокина,Химки,5.0,5
420,Елизавета,Калинина,Подольск,3.6666666666666665,3
421,Владислав,Трофимов,Москва,3.0,3
422,Ева,Карпова,Мытищи,2.3333333333333335,3
423,Александра,Князева,Подольск,5.0,3
424,Тимофей,Блинов,Долгопрудный,5.0,2
425,Александра,Зайцева,Люберцы,4.75,4
426,Алиса,Беспалова,Люберцы,4.833333333333333,8
427,Александр,Авдеев,Долгопрудный,4.8,5
428,Михаил,Лебедев,Химки,5.0,4
429,Илья,Миронов,Люберцы,4.833333333333333,6
430,Иван,Копылов,Балашиха,5.0,1
431,Карина,Шубина,Балашиха,5.0,3
432,Артем,Моисеев,Долгопрудный,5.0,4
433,Михаил,Щукин,Люберцы,,0
434,Маргарита,Лукина,Балашиха,5.0,5
435,Константин,Мельников,Реутов,5.0,6
436,Анастасия,Новикова,Подольск,5.0,3
437,Ульяна,Белоусова,Люберцы,,0
438,Егор,Миронов,Королев,,1
439,Яна,Сорокина,Балашиха,5.0,3
440,Григорий,Ершов,Балашиха,3.0,2
441,Валерия,Стрелкова,Люберцы,14.166666666666666,6
442,Владислав,Воронов,Люберцы,20.833333333333332,7
443,Федор,Исаков,Люберцы,4.75,4
444,Карина,Князева,Мытищи,5.0,2
445,Карина,Капустина,Королев,5.0,2
446,Арина,Воронцова,Реутов,23.333333333333332,3
447,Мария,Филатова,Железнодорожный,5.0,1
448,Полина,Родионова,Реутов,4.4,5
449,Кира,Королева,Люберцы,5.0,4
450,Злата,Лапина,Химки,,1
451,Диана,Маркова,Химки,12.5,2
452,София,Никифорова,Москва,5.0,4
453,Матвей,Титов,Подольск,3.0,2
454,Артем,Кулаков,Железнодорожный,5.0,3
455,Злата,Блинова,Подольск,4.2,5
456,Виктория,Зыкова,Подольск,4.5,4
457,Кирилл,Лыткин,Люберцы,4.75,4
458,Иван,Петров,Балашиха,5.0,3
459,Михаил,Фролов,Железнодорожный,5.0,4
460,Марк,Колобов,Москва,5.0,2
461,Милана,Кулакова,Балашиха,5.0,8
462,Ульяна,Трофимова,Подольск,1.0,1
463,Владислав,Кошелев,Мытищи,2.6666666666666665,3
464,Тимофей,Моисеев,Химки,,0
465,Егор,Щукин,Балашиха,4.0,2
466,Александр,Стрелков,Долгопрудный,5.0,4
467,Никита,Калашников,Железнодорожный,,0
468,Алёна,Доронина,Москва,36.666666666666664,3
469,Ксения,Федотова,Подольск,5.0,3
470,Савелий,Медведев,Мытищи,5.0,3
471,Тимофей,Фомин,Долгопрудный,4.428571428571429,7
472,Лев,Соколов,Железнодорожный,5.0,5
473,Артем,Голубев,Люберцы,5.0,5
474,Валерия,Нестерова,Железнодорожный,4.75,5
475,Виктория,Чернова,Реутов,5.0,3
476,Андрей,Романов,Реутов,4.666666666666667,3
477,Виктор,Федоров,Химки,5.0,3
478,Роман,Крюков,Реутов,4.2,5
479,Глеб,Веселов,Химки,4.5,6
480,Виктория,Рыбакова,Балашиха,4.75,4
481,Иван,Бирюков,Москва,52.5,2
482,Анастасия,Маркова,Королев,4.5,2
483,Виктория,Тимофеева,Долгопрудный,5.0,1
484,Полина,Агафонова,Реутов,5.0,1
485,Ульяна,Агафонова,Мытищи,5.0,5
486,Алиса,Гришина,Железнодорожный,5.0,5
487,Арсений,Кузьмин,Железнодорожный,4.0,4
488,Глеб,Щербаков,Балашиха,5.0,7
489,Кира,Панфилова,Люберцы,4.0,4
490,Максим,Лазарев,Реутов,5.0,5
491,Карина,Агафонова,Химки,,0
492,Алиса,Сазонова,Королев,5.0,2
493,Владислав,Фадеев,Балашиха,5.0,3
494,Роман,Фомин,Химки,5.0,6
495,Маргарита,Емельянова,Химки,5.0,2
496,Денис,Коновалов,Мытищи,4.25,4
497,Мария,Тарасова,Реутов,5.0,3
498,Ева,Исакова,Железнодорожный,5.0,1
499,Максим,Куликов,Подольск,5.0,2
500,Лев,Ширяев,Реутов,1.0,2
501,Анастасия,Евдокимова,Химки,,0
502,Василиса,Соболева,Мытищи,5.0,4
503,Елизавета,Родионова,Реутов,5.0,3
504,Иван,Суханов,Балашиха,5.0,4
505,Андрей,Козлов,Химки,3.5,2
506,Демид,Матвеев,Химки,5.0,2
507,Савелий,Павлов,Мытищи,3.5,4
508,Александра,Лукина,Москва,4.8,5
509,Григорий,Ковалев,Подольск,5.0,6
510,Маргарита,Елисеева,Мытищи,5.0,1
511,Григорий,Лобанов,Реутов,5.0,3
512,Мария,Богданова,Москва,5.0,3
513,Маргарита,Белякова,Москва,4.0,2
514,Виктория,Боброва,Королев,24.0,5
515,Илья,Медведев,Долгопрудный,5.0,4
516,Вероника,Сорокина,Королев,36.666666666666664,3
517,Василиса,Афанасьева,Долгопрудный,24.0,6
518,Лев,Маслов,Балашиха,5.0,4
519,Стефания,Шубина,Долгопрудный,4.75,5
520,Степан,Якушев,Долгопрудный,4.0,4
521,Валерия,Никифорова,Мытищи,4.2,5
522,Полина,Гусева,Химки,5.0,2
523,Наталья,Михеева,Долгопрудный,4.666666666666667,3
524,Маргарита,Белова,Железнодорожный,3.75,4
525,Злата,Романова,Люберцы,4.333333333333333,6
526,Демид,Мясников,Реутов,7.75,4
527,Виктор,Емельянов,Балашиха,4.666666666666667,3
528,Роман,Рябов,Люберцы,1.0,1
529,Ярослав,Дроздов,Балашиха,5.0,8
530,Егор,Фомичев,Москва,4.0,4
531,Алёна,Ларионова,Реутов,4.8,5
532,Иван,Фомичев,Долгопрудный,4.333333333333333,3
533,Даниил,Беспалов,Долгопрудный,5.0,4
534,Денис,Лапин,Подольск,5.0,2
535,Степан,Силин,Подольск,3.0,4
536,Кира,Филиппова,Люберцы,5.0,4
537,Максим,Горбунов,Подольск,20.5,6
538,Диана,Селезнева,Люберцы,5.0,1
539,Роман,Воронов,Долгопрудный,4.5,3
540,Ярослав,Исаев,Москва,4.428571428571429,8
541,Максим,Доронин,Железнодорожный,5.0,3
542,Тимофей,Силин,Мытищи,27.75,4
543,Яна,Кудряшова,Королев,4.0,4
544,Ева,Михайлова,Химки,5.0,5
545,Александра,Лихачева,Химки,5.0,2
546,Михаил,Щербаков,Реутов,52.5,2
547,Елизавета,Лаврентьева,Люберцы,5.0,5
548,Кирилл,Ермаков,Железнодорожный,4.666666666666667,3
549,Мария,Князева,Подольск,4.2,5
550,Илья,Воронцов,Москва,3.5,4
551,Александр,Кулагин,Подольск,4.6,5
552,Злата,Мишина,Железнодорожный,4.2,6
553,Даниил,Поляков,Люберцы,5.0,3
554,Арсений,Панов,Подольск,4.428571428571429,7
555,Анастасия,Потапова,Железнодорожный,5.0,4
556,Милана,Овчинникова,Москва,4.333333333333333,6
557,Валерия,Федосеева,Химки,4.4,5
558,Иван,Анисимов,Москва,5.0,2
559,Милана,Смирнова,Железнодорожный,4.333333333333333,6
560,Анна,Зуева,Подольск,5.0,6
561,Ксения,Сергеева,Королев,4.142857142857143,7
562,Александра,Доронина,Балашиха,5.0,1
563,Ярослав,Антонов,Мытищи,5.0,2
564,Матвей,Калинин,Балашиха,3.5,4
565,Маргарита,Некрасова,Подольск,4.5,4
566,Милана,Морозова,Подольск,4.0,3
567,Карина,Фомичева,Химки,,0
568,София,Ларионова,Москва,35.333333333333336,3
569,Кирилл,Иванов,Королев,5.0,3
570,Владислав,Князев,Мытищи,5.0,3
571,Андрей,Сидоров,Королев,5.0,3
572,Карина,Кононова,Реутов,4.8,7
573,Никита,Исаев,Долгопрудный,5.0,6
574,Илья,Осипов,Балашиха,5.0,2
575,Стефания,Бурова,Подольск,5.0,2
576,Кира,Киселева,Балашиха,5.0,9
