id,first_name,last_name,auto,rating,city
91,Николай,Лебедев,1245,5.850393700787402,Москва
92,Рамазан,Ахмед,1481,6.319838056680162,Железнодорожный
93,Михаил,Кузнецов,697,6.390350877192983,Мытищи
94,Хасан,Шарипов,1781,6.255813953488372,Москва
95,Инса,Абдуллаева,366,5.129554655870446,Люберцы
96,Елена,Петрова,1689,5.445378151260504,Реутов
97,Владимир,Лебедев,834,6.8370044052863435,Москва
98,Алексей,Новиков,188,6.463519313304721,Москва
99,Алишер,Рахимов,224,7.315315315315315,Москва
100,Мурад,Абдуллаев,724,5.603896103896104,Москва
101,Дильшод,Юсупов,1623,6.728813559322034,Люберцы
102,Сафия,Ахмед Оглы,61,6.5212121212121215,Королев
103,Анна,Лебедева,936,7.579710144927536,Москва
104,Расул,Абдуллаев,676,5.555555555555555,Москва
105,Расул,Ахмед,740,6.804,Подольск
106,Хасан,Гаджиев,40,6.166037735849057,Москва
107,Рамазан,Ахмед,695,6.331967213114754,Люберцы
108,Дильшод,Касымов,727,6.69672131147541,Железнодорожный
109,Хасан,Багаев,1169,6.174418604651163,Москва
110,Жомарт,Назаров,1446,4.905405405405405,Мытищи
111,Ислам,Багаев,1275,7.011764705882353,Москва
112,Залим,Исаев,499,5.475609756097561,Балашиха
113,Анна,Морозова,709,6.359307359307359,Москва
114,Рахмат,Абдрахманов,346,5.581081081081081,Железнодорожный
115,Гамид,Магомедов,336,6.352459016393443,Москва
116,Рамазан,Багаев,895,5.790178571428571,Химки
117,Амина,Алиева,744,6.10091743119266,Москва
118,Мария,Иванова,1177,7.068548387096774,Балашиха
119,Мурад,Ахмед,228,6.070588235294117,Мытищи
120,Феруза,Алимова,1068,7.025,Реутов
121,Магомед,Шарипов,552,5.8861788617886175,Москва
122,Аслан,Магомедов,371,6.6103896103896105,Москва
123,Расул,Саидов,884,6.98406374501992,Москва
124,Эльнур,Абдрахманов,1596,6.86697247706422,Москва
125,Павел,Морозов,665,7.015037593984962,Москва
126,Магомед,Ахмед,383,6.660130718954249,Люберцы
127,Магомед,Абдурахман,1722,4.917910447761194,Москва
128,Ислам,Джабраилов,678,4.961832061068702,Балашиха
129,Рахмат,Рахимов,981,8.532051282051283,Королев
130,Бауржан,Саидов,271,5.970954356846473,Железнодорожный
131,Аслан,Абдуллаев,1685,6.092165898617512,Королев
132,Сергей,Смирнов,1462,6.8076923076923075,Москва
133,Жомарт,Жумаев,1735,7.708695652173913,Мытищи
134,Мурад,Саидов,1406,5.900398406374502,Москва
135,Николай,Морозов,1007,6.163090128755365,Москва
136,Бауржан,Касымов,628,7.068181818181818,Железнодорожный
137,Нурсултан,Абдрахманов,196,5.982142857142857,Москва
138,Дмитрий,Новиков,510,5.806569343065694,Москва
139,Дильшод,Саидов,488,5.090909090909091,Железнодорожный
140,Хасан,Джабраилов,1731,4.9416058394160585,Химки
141,Рахмат,Мирзаев,701,7.5139664804469275,Москва
142,Магомед,Саидов,191,6.971590909090909,Москва
143,Николай,Кузнецов,265,6.992647058823529,Химки
144,Рустам,Назаров,631,5.148305084745763,Москва
145,Павел,Петров,625,7.553191489361702,Люберцы
146,Бауржан,Жумаев,1716,6.926640926640927,Долгопрудный
147,Расул,Саидов,324,7.674074074074074,Москва
148,Шамиль,Магомедов,1644,7.728346456692913,Москва
149,Жомарт,Назаров,870,4.822085889570552,Долгопрудный
150,Евгений,Новиков,1354,6.7687074829931975,Москва
151,Аслан,Гаджиев,1698,7.096525096525096,Москва
152,Зара,Караева,156,6.569767441860465,Люберцы
153,Саид,Назаров,1193,6.266187050359712,Химки
154,Темирлан,Алимов,1273,6.124423963133641,Химки
155,Темирлан,Юсупов,1583,7.904761904761905,Подольск
156,Темирлан,Саидов,289,6.0344827586206895,Мытищи
157,Магомед,Саидов,1302,7.269230769230769,Подольск
158,Магомед,Джабраилов,123,5.473895582329317,Москва
159,Рамазан,Алиев,291,5.97165991902834,Долгопрудный
160,Михаил,Иванов,1113,7.318385650224215,Химки
161,Дильшод,Назаров,240,6.410958904109589,Москва
162,Аслан,Багаев,1020,5.883435582822086,Москва
163,Ольга,Попова,828,6.564655172413793,Железнодорожный
164,Аслан,Караев,1251,7.047904191616767,Москва
165,Жомарт,Абдрахманов,295,6.250950570342205,Люберцы
166,Расул,Караев,1045,4.892561983471074,Москва
167,Дильшод,Мирзаев,212,6.470588235294118,Москва
168,Фатима,Багаева,699,7.980392156862745,Москва
169,Ислам,Караев,1282,6.114035087719298,Москва
170,Хасан,Джабраилов,1794,5.6183206106870225,Химки
171,Нурсултан,Юсупов,1271,6.433333333333334,Мытищи
172,Дмитрий,Козлов,844,7.5177304964539005,Подольск
173,Нурсултан,Назаров,1585,6.8647342995169085,Железнодорожный
174,Гюльнара,Ахмед Оглы,1670,7.023529411764706,Балашиха
175,Саид,Юсупов,1420,5.978070175438597,Балашиха
176,Павел,Лебедев,1345,6.613733905579399,Москва
177,Рахмат,Назаров,238,6.508982035928144,Москва
178,Залим,Багаев,500,6.867256637168142,Москва
179,Алишер,Саидов,1451,6.53781512605042,Люберцы
180,Юлия,Петрова,1478,7.105882352941176,Москва
181,Рамазан,Магомедов,795,6.977064220183486,Москва
182,Алексей,Иванов,261,8.75,Химки
183,Алексей,Попов,920,8.05,Мытищи
184,Елена,Смирнова,822,5.991489361702127,Москва
185,Саид,Алимов,1762,5.552511415525114,Балашиха
186,Елена,Кузнецова,711,7.676829268292683,Москва
187,Гюльнара,Джабраилова,1239,6.5,Балашиха
188,Залим,Магомедов,1690,7.633540372670807,Долгопрудный
189,Рамазан,Абдуллаев,688,5.385650224215246,Москва
190,Шамиль,Магомедов,480,5.4974358974358974,Королев
191,Нигина,Мирзаева,1270,7.209677419354839,Балашиха
192,Гамид,Гаджиев,142,5.964912280701754,Железнодорожный
193,Олег,Новиков,1714,5.540425531914893,Москва
194,Хасан,Исаев,1360,7.504273504273504,Подольск
195,Сергей,Новиков,1122,5.866396761133603,Химки
196,Магомед,Саидов,1782,6.755458515283843,Москва
197,Алишер,Юсупов,610,6.253787878787879,Железнодорожный
198,Бауржан,Абдуллаев,445,5.060728744939271,Реутов
199,Шамиль,Гаджиев,353,5.977011494252873,Москва
200,Хасан,Абдурахман,1534,6.947368421052632,Химки
201,Павел,Смирнов,1194,7.465116279069767,Москва
202,Павел,Козлов,946,5.7790262172284645,Подольск
203,Залим,Саидов,1422,8.122302158273381,Королев
204,Хасан,Караев,732,7.435064935064935,Москва
205,Гамид,Юсупов,531,6.977528089887641,Москва
206,Ислам,Исаев,350,7.672489082969432,Балашиха
207,Гамид,Саидов,948,7.0,Подольск
208,Евгений,Новиков,1432,6.93984962406015,Москва
209,Айша,Саидова,2,5.219730941704036,Реутов
210,Гамид,Саидов,1294,5.4969325153374236,Москва
211,Инса,Джабраилова,1277,6.793103448275862,Люберцы
212,Магомед,Багаев,1071,7.901515151515151,Москва
213,Эльнур,Алимов,1281,7.1193415637860085,Москва
214,Рахмат,Абдуллаев,1030,6.368,Реутов
215,Мурад,Абдуллаев,706,7.748898678414097,Химки
216,Бауржан,Жумаев,997,7.088709677419355,Железнодорожный
217,Владимир,Новиков,801,5.889361702127659,Москва
218,Алишер,Юсупов,1532,7.056818181818182,Москва
219,Алишер,Абдуллаев,1522,6.5083798882681565,Москва
220,Рахмат,Назаров,494,8.377245508982035,Королев
221,Ислам,Саидов,1296,7.573991031390134,Москва
222,Михаил,Иванов,1749,7.337579617834395,Балашиха
223,Темирлан,Юсупов,813,6.350710900473934,Железнодорожный
224,Иван,Попов,1580,7.527472527472527,Реутов
225,Гюльнара,Исаева,349,7.266666666666667,Химки
226,Хасан,Шарипов,1106,7.055900621118012,Долгопрудный
227,Темирлан,Абдрахманов,734,5.951807228915663,Москва
228,Рамазан,Гаджиев,1586,7.641791044776119,Москва
229,Саид,Жумаев,915,4.764976958525345,Москва
230,Саид,Юсупов,1185,5.322463768115942,Москва
231,Темирлан,Алимов,453,7.733333333333333,Москва
232,Саид,Касымов,1260,6.94238683127572,Москва
233,Эльнур,Турдиев,313,6.384615384615385,Москва
234,Дильшод,Алимов,1008,7.611510791366906,Долгопрудный
235,Алексей,Козлов,1643,5.574324324324325,Москва
236,Хасан,Магомедов,1533,9.315384615384616,Москва
237,Залим,Алиев,1036,6.798245614035087,Москва
238,Олег,Сидоров,1278,6.697872340425532,Москва
239,Темирлан,Юсупов,856,5.836065573770492,Москва
240,Алишер,Жумаев,886,7.47191011235955,Химки
241,Рамазан,Саидов,989,8.1437125748503,Подольск
242,Олег,Петров,1254,5.479166666666667,Москва
243,Аслан,Шарипов,621,6.7076271186440675,Балашиха
244,Рахмат,Турдиев,1298,6.586826347305389,Люберцы
245,Сафия,Саидова,566,7.191304347826087,Реутов
246,Николай,Новиков,1564,6.936936936936937,Люберцы
247,Мурад,Багаев,1510,6.0042918454935625,Москва
248,Рахмат,Турдиев,512,4.705357142857143,Москва
249,Хасан,Исаев,523,7.185344827586207,Москва
250,Аслан,Магомедов,1369,6.399176954732511,Железнодорожный
251,Жомарт,Каримов,1006,5.783625730994152,Балашиха
252,Павел,Петров,120,7.180722891566265,Москва
253,Аслан,Алиев,399,4.892857142857143,Балашиха
254,Аслан,Шарипов,81,6.905027932960894,Москва
255,Магомед,Саидов,1147,6.135135135135135,Москва
256,Зара,Магомедова,1584,6.454545454545454,Москва
257,Алексей,Петров,1291,7.186147186147186,Москва
258,Магомед,Алиев,875,7.127049180327869,Москва
259,Бауржан,Жумаев,1084,7.308056872037914,Москва
260,Гамид,Исаев,1284,7.3125,Москва
261,Эльнур,Турдиев,175,6.132352941176471,Москва
262,Павел,Петров,190,7.190243902439025,Реутов
263,Темирлан,Жумаев,871,7.094861660079052,Химки
264,Махира,Алимова,616,6.903225806451613,Москва
265,Махира,Абдуллаева,998,5.65,Реутов
266,Дильшод,Турдиев,1218,4.887096774193548,Подольск
267,Мурад,Алиев,977,5.5,Подольск
268,Хасан,Абдуллаев,841,7.030075187969925,Химки
269,Иван,Петров,787,6.093023255813954,Мытищи
270,Темирлан,Мирзаев,1426,6.32520325203252,Москва
271,Магомед,Гаджиев,1500,5.619834710743802,Москва
272,Темирлан,Алимов,1023,7.367088607594937,Москва
273,Аслан,Гаджиев,1553,6.9021739130434785,Москва
274,Сергей,Иванов,1101,5.9605263157894735,Балашиха
275,Жомарт,Юсупов,772,5.469135802469136,Балашиха
276,Рахмат,Каримов,233,8.616666666666667,Люберцы
277,Фатима,Абдурахман,941,7.513725490196078,Железнодорожный
278,Нигина,Жумаева,1517,7.349462365591398,Москва
279,Аслан,Шарипов,972,6.2936507936507935,Мытищи
280,Сергей,Петров,1732,5.4763636363636365,Москва
281,Аслан,Багаев,1025,6.891891891891892,Москва
282,Шахноза,Назарова,653,7.015503875968992,Долгопрудный
283,Хасан,Исаев,387,6.387096774193548,Долгопрудный
284,Евгений,Морозов,288,6.360902255639098,Мытищи
285,Саид,Юсупов,117,6.758389261744966,Химки
286,Шамиль,Джабраилов,800,7.296610169491525,Москва
287,Саид,Махмудов,1612,6.7112970711297075,Балашиха
288,Хасан,Багаев,139,8.062068965517241,Железнодорожный
289,Дильшод,Турдиев,864,5.6553191489361705,Королев
290,Расул,Гаджиев,1808,7.7229437229437226,Реутов
291,Эльнур,Мирзаев,666,5.596899224806202,Москва
292,Гамид,Гаджиев,1646,6.788359788359788,Химки
293,Магомед,Ахмед,570,6.905797101449275,Люберцы
294,Евгений,Кузнецов,1653,6.9581395348837205,Москва
295,Темирлан,Абдрахманов,1149,7.018779342723005,Москва
296,Рустам,Касымов,106,6.511494252873563,Москва
297,Залим,Саидов,519,5.820809248554913,Москва
298,Аслан,Шарипов,905,6.214285714285714,Королев
299,Шамиль,Алиев,1215,7.336683417085427,Москва
300,Зара,Шарипова,1577,5.619909502262443,Железнодорожный
301,Павел,Иванов,1611,4.704166666666667,Долгопрудный
302,Дильшод,Алимов,1536,5.940476190476191,Москва
303,Сергей,Смирнов,1683,6.0552147239263805,Москва
304,Дильшод,Рахимов,1308,6.794117647058823,Железнодорожный
305,Феруза,Каримова,966,7.834645669291339,Москва
306,Темирлан,Саидов,1415,6.324200913242009,Долгопрудный
307,Сергей,Сидоров,1810,6.411538461538462,Москва
308,Евгений,Сидоров,132,6.728888888888889,Королев
309,Гамид,Исаев,613,5.48,Железнодорожный
310,Саид,Саидов,1325,6.821576763485477,Железнодорожный
311,Хасан,Гаджиев,1619,5.725806451612903,Москва
312,Рахмат,Мирзаев,1480,7.849206349206349,Москва
313,Дмитрий,Смирнов,1624,6.90625,Балашиха
314,Рахмат,Абдрахманов,1647,7.075949367088608,Москва
315,Рахмат,Алимов,1170,5.62962962962963,Москва
316,Гульнара,Абдрахманова,535,7.033519553072626,Москва
317,Рамазан,Саидов,334,4.650862068965517,Москва
318,Рахмат,Саидов,487,7.053846153846154,Москва
319,Инса,Багаева,918,5.559701492537314,Москва
320,Залим,Исаев,1364,5.940425531914894,Москва
321,Расул,Юсупов,1085,4.940476190476191,Москва
322,Ислам,Джабраилов,562,6.778225806451613,Реутов
323,Шамиль,Магомедов,459,4.745614035087719,Долгопрудный
324,Магомед,Магомедов,1344,5.970212765957447,Москва
325,Темирлан,Абдрахманов,23,6.135802469135802,Железнодорожный
326,Нурсултан,Махмудов,8,7.209302325581396,Москва
327,Жомарт,Мирзаев,1402,5.973684210526316,Люберцы
328,Гамид,Шарипов,439,4.832214765100671,Мытищи
329,Расул,Магомедов,1809,6.377450980392157,Москва
330,Бауржан,Саидов,1050,7.467592592592593,Москва
331,Хасан,Ахмед,249,7.849206349206349,Москва
332,Залим,Саидов,1455,7.569037656903766,Москва
333,Нурсултан,Саидов,1005,6.389763779527559,Люберцы
334,Расул,Гаджиев,1370,5.543478260869565,Москва
335,Дильшод,Рахимов,897,6.95906432748538,Мытищи
336,Дильшод,Назаров,1042,6.183206106870229,Реутов
337,Алишер,Рахимов,1209,5.835978835978836,Москва
338,Диля,Турдиева,1178,5.456375838926174,Москва
339,Саид,Абдуллаев,239,6.3,Москва
340,Алишер,Юсупов,1710,6.88268156424581,Люберцы
341,Расул,Алиев,868,6.8053097345132745,Москва
342,Саид,Турдиев,38,5.936440677966102,Москва
343,Нурсултан,Абдрахманов,1733,7.883870967741935,Люберцы
344,Алишер,Махмудов,1696,7.556650246305419,Москва
345,Саид,Турдиев,1336,6.131578947368421,Москва
346,Владимир,Попов,1146,5.565789473684211,Москва
347,Расул,Гаджиев,835,6.24609375,Москва
348,Жомарт,Саидов,947,7.243697478991597,Балашиха
349,Дмитрий,Новиков,808,5.7368421052631575,Москва
350,Владимир,Новиков,558,5.9494163424124515,Москва
351,Евгений,Лебедев,587,6.482490272373541,Москва
352,Алишер,Турдиев,1319,6.029535864978903,Москва
353,Нурсултан,Рахимов,585,7.311688311688312,Подольск
354,Олег,Козлов,770,5.846441947565543,Мытищи
355,Зара,Гаджиева,1259,8.69047619047619,Москва
356,Гамид,Караев,153,7.423868312757202,Москва
357,Хасан,Багаев,1528,6.521551724137931,Люберцы
358,Иван,Морозов,1719,6.0,Москва
359,Сергей,Лебедев,1715,5.817073170731708,Королев
360,Магомед,Абдуллаев,944,6.367088607594937,Москва
361,Юлия,Попова,1012,7.95,Москва
362,Павел,Морозов,1448,6.177777777777778,Балашиха
363,Евгений,Иванов,928,7.119047619047619,Балашиха
364,Рахмат,Юсупов,1331,7.9119170984455955,Москва
365,Эльнур,Алимов,1512,5.63677130044843,Долгопрудный
366,Дильшод,Абдуллаев,375,8.336065573770492,Подольск
367,Аслан,Исаев,1744,5.5060975609756095,Москва
368,Расул,Юсупов,1499,4.836363636363636,Химки
369,Аслан,Юсупов,416,5.901162790697675,Химки
370,Маликат,Исаева,614,7.149425287356322,Реутов
371,Евгений,Новиков,1062,5.087719298245614,Москва
372,Юлия,Петрова,1197,7.228215767634855,Москва
373,Сергей,Петров,1525,6.992307692307692,Москва
374,Мурад,Гаджиев,1398,6.76890756302521,Москва
375,Фатима,Юсупова,951,5.573426573426573,Москва
376,Хасан,Ахмед,643,5.63063063063063,Химки
377,Темирлан,Турдиев,121,4.713080168776371,Москва
378,Темирлан,Турдиев,1300,6.668067226890757,Москва
379,Ислам,Гаджиев,341,5.6,Люберцы
380,Расул,Абдурахман,1078,6.460869565217391,Москва
381,Михаил,Новиков,1132,5.620833333333334,Москва
382,Мурад,Юсупов,586,5.877551020408164,Москва
383,Жомарт,Каримов,1456,6.775510204081633,Москва
384,Сергей,Сидоров,1250,6.637860082304527,Москва
385,Ислам,Абдуллаев,1470,6.3515625,Королев
386,Хасан,Гаджиев,19,7.666666666666667,Москва
387,Хасан,Джабраилов,657,6.302040816326531,Химки
388,Диля,Мирзаева,925,6.6115702479338845,Долгопрудный
389,Мурад,Гаджиев,713,6.017094017094017,Железнодорожный
390,Темирлан,Назаров,1326,6.0843373493975905,Москва
391,Саид,Саидов,323,7.447368421052632,Балашиха
392,Эльнур,Каримов,278,6.8977272727272725,Москва
393,Аслан,Юсупов,580,5.50314465408805,Москва
394,Темирлан,Назаров,108,5.217391304347826,Подольск
395,Расул,Караев,266,6.816326530612245,Долгопрудный
396,Сергей,Козлов,1190,6.039823008849558,Подольск
397,Маликат,Саидова,1047,7.932489451476793,Москва
398,Саид,Жумаев,1590,8.455223880597014,Москва
399,Иван,Новиков,463,6.40990990990991,Подольск
400,Шамиль,Алиев,1155,6.54337899543379,Долгопрудный
401,Хасан,Караев,649,6.098591549295775,Люберцы
402,Шамиль,Абдуллаев,1724,7.504310344827586,Москва
403,Феруза,Мирзаева,1424,6.291044776119403,Люберцы
404,Рустам,Саидов,888,6.730923694779117,Москва
405,Шамиль,Абдурахман,604,5.85,Москва
406,Саид,Алимов,1109,7.098360655737705,Москва
407,Николай,Кузнецов,1650,4.896103896103896,Москва
408,Залим,Магомедов,1662,7.016666666666667,Москва
409,Аслан,Караев,329,7.091603053435114,Люберцы
410,Ислам,Магомедов,1181,6.474285714285714,Балашиха
411,Амина,Багаева,672,5.8940677966101696,Мытищи
412,Эльнур,Касымов,1341,5.921259842519685,Люберцы
413,Шамиль,Исаев,660,6.021645021645021,Москва
414,Аслан,Исаев,722,6.446902654867257,Москва
415,Мурад,Караев,805,6.025,Москва
416,Нурсултан,Жумаев,1337,6.158653846153846,Долгопрудный
417,Шамиль,Магомедов,780,7.9,Москва
418,Саид,Алимов,491,6.264705882352941,Москва
419,Татьяна,Петрова,956,6.325301204819277,Балашиха
420,Рустам,Жумаев,714,6.378378378378378,Москва
421,Эльнур,Алимов,1338,6.988165680473373,Москва
422,Рахмат,Каримов,933,6.918803418803419,Москва
423,Хасан,Юсупов,957,5.4978902953586495,Химки
424,Гамид,Абдуллаев,668,6.204,Москва
425,Хасан,Багаев,778,6.413127413127413,Москва
426,Гамид,Шарипов,1139,6.606060606060606,Долгопрудный
427,Рахмат,Мирзаев,1660,5.663793103448276,Москва
428,Шамиль,Абдурахман,670,7.293814432989691,Химки
429,Владимир,Лебедев,1274,7.90566037735849,Москва
430,Евгений,Петров,258,6.285714285714286,Мытищи
431,Расул,Саидов,1056,5.845849802371541,Москва
432,Бауржан,Рахимов,1471,7.421739130434783,Подольск
433,Фатима,Багаева,882,4.751091703056769,Москва
434,Бауржан,Саидов,229,5.23921568627451,Мытищи
435,Жомарт,Турдиев,603,7.099173553719008,Москва
436,Расул,Гаджиев,155,6.338345864661654,Москва
437,Махира,Махмудова,1453,6.5375,Химки
438,Бауржан,Абдрахманов,1095,5.5,Подольск
439,Нурсултан,Мирзаев,1748,7.348214285714286,Москва
440,Рустам,Касымов,962,6.178988326848249,Москва
441,Нурсултан,Абдрахманов,421,5.722727272727273,Люберцы
442,Залим,Караев,513,5.888888888888889,Люберцы
443,Олег,Петров,1504,6.324427480916031,Подольск
444,Сергей,Петров,276,5.821428571428571,Москва
445,Расул,Алиев,1526,6.14,Москва
446,Бауржан,Назаров,146,5.869318181818182,Подольск
447,Залим,Исаев,645,8.68776371308017,Москва
448,Хасан,Магомедов,529,6.412037037037037,Москва
449,Магомед,Абдуллаев,685,5.285714285714286,Москва
450,Сергей,Иванов,632,7.865116279069768,Москва
451,Залим,Абдурахман,1576,6.76,Королев
452,Нурсултан,Каримов,1375,6.103139013452915,Москва
453,Рамазан,Шарипов,1691,5.931623931623932,Москва
454,Рустам,Турдиев,1235,6.367441860465116,Москва
455,Ислам,Джабраилов,937,7.877049180327869,Москва
456,Бауржан,Каримов,1295,5.604938271604938,Реутов
457,Рахмат,Мирзаев,410,7.3940677966101696,Москва
458,Иван,Смирнов,1037,5.55,Москва
459,Залим,Багаев,533,6.834061135371179,Москва
460,Хасан,Багаев,1339,5.560311284046692,Москва
461,Дильшод,Турдиев,495,6.420833333333333,Москва
462,Эльнур,Махмудов,930,6.504347826086956,Москва
463,Нурсултан,Касымов,1758,7.468926553672317,Люберцы
464,Саид,Саидов,917,6.4,Люберцы
465,Рустам,Абдрахманов,1770,5.570815450643777,Железнодорожный
466,Саид,Абдрахманов,1285,7.510067114093959,Москва
467,Гамид,Алиев,337,6.0251572327044025,Химки
468,Ислам,Абдурахман,1324,6.318367346938776,Москва
469,Рамазан,Саидов,1800,5.450819672131147,Москва
470,Евгений,Смирнов,1457,6.077981651376147,Москва
471,Аслан,Магомедов,164,6.394736842105263,Москва
472,Алексей,Козлов,165,6.327935222672065,Королев
473,Мурад,Магомедов,223,6.454545454545454,Люберцы
474,Гамид,Караев,517,7.6,Балашиха
475,Залим,Шарипов,1445,5.818181818181818,Москва
476,Сергей,Петров,979,5.775956284153006,Москва
477,Нурсултан,Назаров,716,6.185365853658537,Москва
478,Рустам,Турдиев,1057,7.666666666666667,Долгопрудный
479,Николай,Петров,1333,6.923423423423423,Москва
480,Залим,Шарипов,310,6.392670157068062,Королев
481,Темирлан,Абдрахманов,1464,6.2761506276150625,Москва
482,Динара,Абдуллаева,1028,6.641732283464567,Москва
483,Сергей,Петров,1778,4.896551724137931,Химки
484,Сергей,Кузнецов,1141,6.419540229885057,Москва
485,Саид,Жумаев,1495,5.183760683760684,Балашиха
486,Юлия,Смирнова,182,6.68,Химки
487,Алексей,Лебедев,430,5.580786026200873,Москва
488,Фатима,Саидова,730,7.076335877862595,Москва
489,Дильшод,Турдиев,954,6.426966292134831,Москва
490,Мурад,Магомедов,548,7.70995670995671,Москва
491,Расул,Джабраилов,1679,5.98015873015873,Железнодорожный
492,Залим,Алиев,402,5.875,Москва
493,Дильшод,Рахимов,1427,7.7727272727272725,Москва
494,Залим,Ахмед,1408,5.596899224806202,Москва
495,Хасан,Багаев,1,7.220779220779221,Балашиха
496,Нурсултан,Турдиев,1207,6.598326359832636,Москва
497,Шамиль,Ахмед,1667,5.284,Реутов
498,Хасан,Караев,1489,6.167300380228137,Москва
